ape;m;st8
01.11Z;1;1
01.13Z;1;1
01.15Z;1;1
01.16Z;1;1
01.19Z;1;1
01.21Z;1;1
01.22Z;1;1
01.24Z;1;1
01.25Z;1;1
01.26Z;1;1
01.27Z;1;1
01.28Z;1;1
01.29Z;1;1
01.30Z;1;1
01.41Z;1;1
01.42Z;1;1
01.43Z;1;1
01.45Z;1;1
01.47Z;1;1
01.49Z;1;1
01.50Z;1;1
01.61Z;1;1
01.62Z;1;1
01.63Z;1;1
01.70Z;1;1
02.10Z;1;1
02.20Z;1;1
02.30Z;1;1
02.40Z;1;1
03.11Z;1;1
03.12Z;1;1
03.21Z;1;1
03.22Z;1;1
08.11Z;1;1
08.12Z;1;1
08.91Z;1;1
08.93Z;1;1
08.99Z;1;1
81.30Z;1;1
37.00Z;1;2
38.11Z;4;2
38.12Z;3;2
38.21Z;4;2
38.22Z;3;2
38.31Z;2;2
38.32Z;1;2
39.00Z;5;2
58.11Z;4;2
58.12Z;3;2
58.13Z;6;2
58.14Z;5;2
58.19Z;4;2
58.21Z;5;2
58.29A;2;2
58.29B;2;2
58.29C;1;2
59.11A;4;2
59.11B;2;2
59.11C;4;2
59.12Z;4;2
59.13A;6;2
59.13B;4;2
59.14Z;2;2
59.20Z;5;2
60.10Z;4;2
60.20A;5;2
60.20B;2;2
61.10Z;5;2
61.20Z;4;2
61.30Z;6;2
61.90Z;2;2
62.01Z;4;2
62.02A;4;2
62.02B;4;2
62.03Z;1;2
62.09Z;4;2
63.11Z;1;2
63.12Z;5;2
63.91Z;3;2
63.99Z;4;2
71.12B;4;2
73.11Z;4;2
73.12Z;6;2
73.20Z;3;2
75.00Z;6;2
77.11A;4;2
77.11B;1;2
77.12Z;2;2
77.21Z;1;2
77.22Z;1;2
77.29Z;3;2
77.31Z;2;2
77.32Z;4;2
77.33Z;3;2
77.34Z;4;2
77.35Z;5;2
77.39Z;3;2
77.40Z;2;2
79.11Z;2;2
79.12Z;6;2
79.90Z;5;2
81.10Z;5;2
81.21Z;4;2
81.22Z;4;2
81.29A;4;2
81.29B;6;2
82.11Z;4;2
82.19Z;4;2
82.20Z;5;2
82.30Z;4;2
82.91Z;4;2
82.92Z;1;2
82.99Z;4;2
84.24Z;4;2
84.25Z;3;2
86.10Z;4;2
86.21Z;4;2
86.22A;6;2
86.22B;6;2
86.22C;4;2
86.23Z;5;2
86.90A;3;2
86.90B;2;2
86.90C;5;2
86.90D;4;2
86.90E;4;2
86.90F;2;2
87.10A;5;2
87.10B;5;2
87.10C;3;2
87.20A;6;2
87.20B;6;2
87.30A;5;2
87.30B;4;2
87.90A;5;2
87.90B;4;2
90.01Z;4;2
90.02Z;2;2
90.03A;4;2
90.03B;4;2
90.04Z;2;2
91.01Z;4;2
91.02Z;4;2
91.03Z;5;2
91.04Z;1;2
92.00Z;2;2
93.11Z;2;2
93.12Z;4;2
93.13Z;3;2
93.19Z;2;2
93.21Z;5;2
93.29Z;4;2
95.11Z;4;2
95.12Z;3;2
95.21Z;4;2
95.22Z;6;2
95.23Z;3;2
95.24Z;1;2
95.25Z;3;2
95.29Z;6;2
96.01A;3;2
96.01B;5;2
96.02A;5;2
96.02B;5;2
96.03Z;4;2
96.04Z;3;2
96.09Z;4;2
07.21Z;5;3
07.29Z;5;3
09.10Z;3;3
09.90Z;9;3
10.11Z;5;3
10.12Z;6;3
10.13A;1;3
10.20Z;6;3
10.31Z;7;3
10.32Z;4;3
10.39A;3;3
10.39B;1;3
10.41A;6;3
10.41B;8;3
10.42Z;2;3
10.51A;4;3
10.51B;9;3
10.51C;1;3
10.51D;2;3
10.52Z;4;3
10.61A;4;3
10.61B;3;3
10.71A;5;3
10.71B;1;3
10.72Z;8;3
10.73Z;8;3
10.81Z;6;3
10.82Z;7;3
10.83Z;3;3
10.84Z;1;3
10.85Z;8;3
10.86Z;4;3
10.89Z;1;3
10.91Z;4;3
10.92Z;1;3
11.01Z;3;3
11.02A;7;3
11.02B;6;3
11.03Z;7;3
11.04Z;6;3
11.05Z;9;3
11.07A;7;3
11.07B;4;3
12.00Z;2;3
13.10Z;9;3
13.20Z;2;3
13.30Z;5;3
13.91Z;4;3
13.92Z;3;3
13.93Z;2;3
13.94Z;6;3
13.95Z;8;3
13.96Z;7;3
13.99Z;9;3
14.11Z;9;3
14.12Z;8;3
14.13Z;4;3
14.14Z;2;3
14.19Z;6;3
14.20Z;4;3
14.31Z;3;3
14.39Z;1;3
15.11Z;1;3
15.12Z;2;3
15.20Z;3;3
16.10A;9;3
16.10B;8;3
16.21Z;6;3
16.22Z;3;3
16.23Z;1;3
16.24Z;8;3
16.29Z;2;3
17.11Z;9;3
17.12Z;6;3
17.21A;7;3
17.21B;9;3
17.21C;7;3
17.22Z;8;3
17.23Z;5;3
17.24Z;1;3
17.29Z;8;3
18.11Z;4;3
18.12Z;7;3
18.13Z;6;3
18.14Z;8;3
18.20Z;3;3
19.20Z;2;3
20.11Z;5;3
20.12Z;7;3
20.13B;8;3
20.14Z;4;3
20.15Z;8;3
20.16Z;5;3
20.17Z;6;3
20.20Z;1;3
20.30Z;6;3
20.41Z;2;3
20.42Z;5;3
20.51Z;1;3
20.52Z;6;3
20.53Z;1;3
20.59Z;6;3
21.10Z;4;3
21.20Z;1;3
22.11Z;4;3
22.19Z;2;3
22.21Z;7;3
22.22Z;4;3
22.23Z;1;3
22.29A;9;3
22.29B;5;3
23.11Z;1;3
23.12Z;9;3
23.13Z;1;3
23.14Z;3;3
23.19Z;1;3
23.20Z;5;3
23.31Z;3;3
23.32Z;6;3
23.41Z;8;3
23.42Z;1;3
23.43Z;5;3
